epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,117.678,0.00406,0.00752,0.4585,0.90122,0.89516,0.37237,0.58577,0.4087,0.55247,0.17391,0.27268,0.07951,0.01099,0.08675,2.94999,1.89375,0.0227499,0.000749884,0.000749884
80,119.527,0.00388,0.00643,0.44584,0.86532,0.82122,0.34783,0.59145,0.42413,0.15789,0.26087,0.16198,0.0508,0.01144,0.07778,3.07918,2.0181,0.0217591,0.000759107,0.000759107
81,120.815,0.00405,0.00881,0.42816,0.87241,0.41176,0.6087,0.59179,0.39916,0.23529,0.34783,0.23825,0.07611,0.0118,0.0719,3.26613,2.00961,0.0207683,0.00076832,0.00076832
82,122.001,0.00427,0.00852,0.43671,0.90788,0.44444,0.52174,0.58082,0.37366,0.14815,0.17391,0.1477,0.06112,0.01171,0.0702,3.44937,1.95627,0.0197775,0.000777523,0.000777523
83,123.306,0.00411,0.00681,0.44805,0.87294,0.48276,0.6087,0.57235,0.39362,0.2069,0.26087,0.16654,0.08073,0.01117,0.06689,3.38371,1.88669,0.0187867,0.000786716,0.000786716
84,124.485,0.00399,0.00714,0.44411,0.89056,0.57692,0.65217,0.69369,0.41856,0.30769,0.34783,0.24275,0.0843,0.01143,0.0631,3.15009,1.94712,0.0177959,0.000795899,0.000795899
85,125.701,0.00407,0.00635,0.44151,0.88632,0.53571,0.65217,0.65796,0.38962,0.21429,0.26087,0.15404,0.06391,0.01162,0.06526,3.18849,1.9647,0.0168051,0.000805073,0.000805073
86,126.973,0.0041,0.00761,0.43315,0.88465,0.66667,0.6087,0.64673,0.42191,0.33333,0.30435,0.22301,0.12383,0.01182,0.06587,3.45757,1.94601,0.0158142,0.000814236,0.000814236
87,128.199,0.00403,0.00667,0.46361,0.87372,0.57692,0.65217,0.68574,0.4336,0.34615,0.3913,0.26435,0.11789,0.0114,0.06371,2.92288,1.89583,0.0148234,0.00082339,0.00082339
88,129.445,0.00394,0.00745,0.42653,0.88967,0.60714,0.73913,0.73641,0.45891,0.46429,0.56522,0.42049,0.1711,0.01069,0.05813,2.49735,1.82488,0.0138325,0.000832533,0.000832533
89,131.761,0.00395,0.00689,0.42346,0.88355,0.64286,0.78261,0.79048,0.50758,0.42857,0.52174,0.36762,0.16864,0.01047,0.05709,2.04975,1.75308,0.0128417,0.000841667,0.000841667
90,133.06,0.00341,0.00612,0.39694,0.84441,0.74074,0.86957,0.84464,0.53836,0.48148,0.56522,0.42759,0.20311,0.01066,0.06333,1.71132,1.83317,0.0118508,0.000850791,0.000850791
91,134.273,0.00417,0.00726,0.43054,0.90011,0.66667,0.86957,0.88484,0.56301,0.36667,0.47826,0.35809,0.16174,0.01007,0.07597,1.74824,1.62138,0.0108599,0.000859905,0.000859905
92,135.477,0.00362,0.00696,0.42378,0.86214,0.88386,0.66219,0.85742,0.55371,0.28571,0.43478,0.24871,0.12015,0.00975,0.0902,1.64159,1.54977,0.00986901,0.000869009,0.000869009
