epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,249.758,0.00383,0.00698,0.48459,1.03751,0.66615,0.49333,0.54197,0.38288,0.70289,0.52,0.58456,0.37827,0.00775,0.01799,1.98945,1.44859,0.00096238,0.00096238,0.00096238
78,252.786,0.00404,0.00726,0.51843,1.02171,0.76154,0.6,0.61266,0.42099,0.77846,0.61333,0.64725,0.4008,0.00739,0.01897,1.61604,1.41588,0.000961885,0.000961885,0.000961885
79,255.73,0.0039,0.00711,0.51179,1.01969,0.81729,0.57333,0.66414,0.4632,0.85693,0.54667,0.62519,0.38229,0.00713,0.02158,1.34937,1.45166,0.00096139,0.00096139,0.00096139
80,258.811,0.00356,0.00674,0.49082,0.98678,0.84361,0.58667,0.67853,0.50169,0.83734,0.58667,0.67831,0.44035,0.00661,0.02006,1.4211,1.32446,0.000960895,0.000960895,0.000960895
81,262.767,0.00375,0.00734,0.48178,0.99882,0.76734,0.66667,0.70013,0.50432,0.86705,0.58667,0.67234,0.42182,0.00717,0.02549,1.35776,1.45219,0.0009604,0.0009604,0.0009604
82,265.746,0.00393,0.00676,0.49969,1.03654,0.80185,0.64751,0.68573,0.51727,0.71282,0.59575,0.6354,0.33787,0.00689,0.03192,1.34815,1.3731,0.000959905,0.000959905,0.000959905
83,268.839,0.00378,0.0071,0.50634,1.02418,0.78569,0.49333,0.6064,0.45407,0.49156,0.44,0.42353,0.21301,0.00678,0.04234,1.58798,1.39494,0.00095941,0.00095941,0.00095941
84,271.869,0.004,0.00773,0.51929,1.02265,0.78587,0.6,0.7112,0.53776,0.83826,0.64,0.72569,0.48823,0.00598,0.01753,1.15945,1.25532,0.000958915,0.000958915,0.000958915
85,274.967,0.00382,0.00712,0.49757,1.01912,0.88954,0.64,0.71498,0.55061,0.91139,0.66667,0.74417,0.55533,0.00632,0.01349,1.24242,1.31355,0.00095842,0.00095842,0.00095842
86,277.989,0.004,0.00755,0.51747,1.01248,0.73739,0.65333,0.67326,0.505,0.75073,0.66667,0.70144,0.4806,0.00661,0.01339,1.32539,1.31343,0.000957925,0.000957925,0.000957925
87,281.002,0.00366,0.00665,0.4767,1.01879,0.73661,0.68,0.68556,0.51697,0.76568,0.70667,0.74597,0.51244,0.00603,0.01294,1.12646,1.2824,0.00095743,0.00095743,0.00095743
88,283.98,0.00391,0.0072,0.50119,1.03363,0.80905,0.62149,0.68977,0.51986,0.84367,0.64765,0.71446,0.48216,0.0066,0.01591,1.37858,1.48581,0.000956935,0.000956935,0.000956935
89,286.977,0.00391,0.0071,0.45795,1.03209,0.83506,0.6751,0.7391,0.56545,0.87885,0.68,0.75412,0.5553,0.00582,0.01547,1.16839,1.28628,0.00095644,0.00095644,0.00095644
90,289.942,0.004,0.00683,0.49154,1.02163,0.81321,0.72,0.77133,0.59385,0.83824,0.72,0.7725,0.5546,0.00602,0.01476,0.99314,1.30525,0.000955945,0.000955945,0.000955945
91,293.581,0.00391,0.00689,0.48422,1.02421,0.80959,0.68,0.7415,0.57246,0.79435,0.66954,0.73095,0.42024,0.0059,0.02337,1.18805,1.21175,0.00095545,0.00095545,0.00095545
92,296.528,0.00389,0.00706,0.52384,1.00311,0.81788,0.73333,0.73691,0.59558,0.84783,0.76,0.77693,0.52843,0.00541,0.01729,1.04705,1.13343,0.000954955,0.000954955,0.000954955
93,299.49,0.00379,0.00704,0.47735,1.02537,0.85715,0.74667,0.77663,0.63195,0.87245,0.76,0.81098,0.62039,0.00524,0.01112,0.93795,1.11469,0.00095446,0.00095446,0.00095446
94,302.689,0.00367,0.00691,0.46944,1.03441,0.84266,0.71415,0.76784,0.61885,0.8584,0.72748,0.79607,0.59348,0.00478,0.01081,0.99076,1.05142,0.000953965,0.000953965,0.000953965
95,305.709,0.00371,0.00693,0.47421,1.02157,0.90723,0.68,0.77245,0.62203,0.92572,0.69333,0.80267,0.61965,0.00527,0.01191,1.02311,1.18234,0.00095347,0.00095347,0.00095347
96,308.735,0.00365,0.00698,0.45312,0.98632,0.8269,0.7007,0.76903,0.6064,0.85838,0.72737,0.81108,0.61442,0.00562,0.01263,1.01184,1.23222,0.000952975,0.000952975,0.000952975
97,311.662,0.00342,0.0068,0.44311,0.99138,0.8223,0.73333,0.76129,0.58286,0.83726,0.74667,0.7846,0.59252,0.00596,0.01256,1.05183,1.27849,0.00095248,0.00095248,0.00095248
98,314.646,0.00357,0.00705,0.46308,0.98103,0.78251,0.69333,0.74833,0.59678,0.82055,0.73333,0.82271,0.60515,0.00557,0.01242,1.01693,1.19753,0.000951985,0.000951985,0.000951985
99,317.59,0.00371,0.00681,0.48566,1.00358,0.83408,0.6703,0.76018,0.59768,0.86826,0.73333,0.82354,0.6012,0.00601,0.01288,1.06424,1.23074,0.00095149,0.00095149,0.00095149
100,320.576,0.00356,0.00639,0.45395,1.01277,0.8338,0.65333,0.7531,0.56502,0.8681,0.68,0.78081,0.58372,0.00634,0.01256,1.14672,1.34373,0.000950995,0.000950995,0.000950995
101,323.67,0.00371,0.00692,0.4724,1.00004,0.78492,0.70667,0.7151,0.53341,0.79987,0.72,0.74752,0.53953,0.00607,0.01227,1.10233,1.22779,0.0009505,0.0009505,0.0009505
102,326.657,0.0039,0.00626,0.48927,1.02314,0.69505,0.69901,0.67324,0.48341,0.7214,0.72507,0.7535,0.50143,0.00709,0.01288,1.18292,1.39192,0.000950005,0.000950005,0.000950005
