epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,160.26,0.00318,0.00597,0.39843,0.92382,0.11111,0.32353,0.08552,0.04041,0.08081,0.23529,0.07506,0.02118,0.01544,0.09475,4.12143,2.8911,0.00094456,0.00094456,0.00094456
114,161.506,0.00312,0.00675,0.42693,0.9356,0.18447,0.55882,0.22274,0.09932,0.1165,0.35294,0.11666,0.03455,0.01327,0.0955,3.65925,2.35647,0.000944065,0.000944065,0.000944065
115,162.848,0.00327,0.00633,0.42167,0.93321,0.18868,0.58824,0.29629,0.13807,0.14151,0.44118,0.15543,0.05651,0.01136,0.07798,3.22181,2.09475,0.00094357,0.00094357,0.00094357
116,164.142,0.00318,0.00663,0.40542,0.95498,0.37407,0.23529,0.29361,0.14849,0.36479,0.23529,0.25479,0.08472,0.01125,0.06125,3.14562,2.09023,0.000943075,0.000943075,0.000943075
117,165.574,0.00296,0.00579,0.38437,0.92489,0.3734,0.21052,0.2626,0.12127,0.32631,0.18552,0.2208,0.07256,0.01167,0.05937,3.26751,2.29852,0.00094258,0.00094258,0.00094258
118,166.955,0.00319,0.00659,0.41041,0.94507,0.37058,0.20588,0.25014,0.1198,0.42445,0.20588,0.21037,0.07656,0.01258,0.06435,3.2354,2.56789,0.000942085,0.000942085,0.000942085
119,168.322,0.00315,0.00606,0.42059,0.91544,0.62159,0.26471,0.33218,0.20722,0.74736,0.26129,0.28941,0.13217,0.01136,0.06918,2.77785,2.42484,0.00094159,0.00094159,0.00094159
120,169.618,0.00288,0.00611,0.37963,0.90126,0.59249,0.44118,0.45745,0.2956,0.70508,0.32353,0.3721,0.18393,0.01098,0.08851,2.24671,2.28677,0.000941095,0.000941095,0.000941095
121,170.974,0.00326,0.00733,0.42557,0.93229,0.57442,0.5,0.48016,0.31493,0.51036,0.26471,0.29852,0.16644,0.01095,0.11166,2.11509,2.2867,0.0009406,0.0009406,0.0009406
122,172.308,0.00318,0.00626,0.38029,0.94412,0.38043,0.41176,0.40101,0.2459,0.28205,0.35294,0.23905,0.11884,0.01013,0.13055,2.0595,2.08819,0.000940105,0.000940105,0.000940105
123,173.56,0.00324,0.00622,0.40416,0.92925,0.49332,0.35294,0.40485,0.25103,0.33731,0.35294,0.26052,0.10183,0.01041,0.13652,2.00075,2.06742,0.00093961,0.00093961,0.00093961
124,174.959,0.00292,0.00629,0.36548,0.91744,0.52197,0.38235,0.36966,0.19376,0.45063,0.33804,0.22407,0.08738,0.01065,0.12881,2.13101,2.1773,0.000939115,0.000939115,0.000939115
125,176.241,0.00316,0.00677,0.41079,0.92264,0.38936,0.5,0.35757,0.20977,0.24652,0.32353,0.19787,0.09242,0.00987,0.1175,2.05313,2.0805,0.00093862,0.00093862,0.00093862
126,177.526,0.00311,0.00595,0.38816,0.92284,0.34587,0.47059,0.34073,0.23296,0.25091,0.35294,0.21791,0.10422,0.00971,0.10507,2.12643,2.05734,0.000938125,0.000938125,0.000938125
127,178.808,0.00291,0.00632,0.39064,0.92671,0.39606,0.35294,0.35028,0.24519,0.64013,0.23529,0.29731,0.11236,0.00974,0.10166,2.10336,1.98767,0.00093763,0.00093763,0.00093763
128,180.101,0.00294,0.00642,0.4336,0.90606,0.36057,0.47059,0.3556,0.22742,0.38801,0.29412,0.29022,0.10773,0.0101,0.10079,2.26718,2.06238,0.000937135,0.000937135,0.000937135
